SET courses,SET courses-href,courses list,courses list-href,pre_req,Assumed Knowledge,course description,course code,level,Incompatible,Units,course name,Term,Locations
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,"VET TECH 2525RW - Biosecurity, Epidemiology and Food Safety for Veterinary TechnologistsRoseworthy Campus | Semester 2 | 2023",https://www.adelaide.edu.au/course-outlines/110534/1/sem-2/,VET TECH 1030RW,null,"Veterinary epidemiology is the scientific discipline which provides the tools to improve and maintain the health and welfare of animals by taking a 'population approach' to disease control. Investigating, understanding, measuring and reporting the way that diseases persist and spread in populations are the first steps to reducing, controlling or eliminating the risk of ill health. All of these activities constitute the strategies used by epidemiologists to protect animal and human populations from the effects of uncontrolled diseases. Consequently, epidemiologists are the leaders of scientific teams responsible for local, regional, national or global biosecurity and for managing responses to disease outbreaks. This course will provide the student of animal health management with the basic tools and skills to embark on a career dedicated to improving animal health and welfare and to the protection of the health and economies of human societies by taking a population approach to understanding the existence and persistence of disease. 



 



Veterinary Public Health embraces the diagnosis, surveillance, epidemiology, control, prevention and elimination of zoonoses and of diseases that threaten food security and social cohesion; protection of food (including meat and milk) for human consumption; food and meat science; environmental protection; animal welfare standards; and the social, behavioural and mental aspects of human-animal relationships. 



 



Veterinary Biosecurity is intrinsically linked to Veterinary Public Health and covers specific aspects on disease prevention, disease surveillance at the national, regional, state and enterprise (farm) level and include notifiable, zoonotic, emergency animal and transboundary diseases.",VET TECH 2525RW,Undergraduate,null,3,"Biosecurity, Epidemiology and Food Safety for Veterinary Technologists",Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 2040RW - Advanced Animal Husbandry for Veterinary Technologists IIRoseworthy Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110369/1/sem-2/,VET TECH 2015RW,null,"Humans keep and care for domestic animals so that they can grow, reproduce and thrive, and provide food, fibre, and companionship to their human owners.  Raising animals in a safe and humane environment is the practice of animal husbandry and the best animal managers possess skills and knowledge across a very broad range of disciplines. Veterinary technologists - responsible for the health and welfare of domestic animals raised in animal husbandry systems - must be familiar with the art and science of animal management in order to help, advise and guide the animal managers. This course explores animal husbandry from the beginnings of life - with topics of genetics, breeding programs and reproduction - to birth and neonatal care and the management and care of adult animals. A basic familiarity with animal production systems and basic level of competency in animal handling from prior study is assumed and this course will further develop knowledge and skills used in the care of a range of animal species from the individual household pet to species involved in large scale intensive food production systems.",VET TECH 2040RW,Undergraduate,null,3,Advanced Animal Husbandry for Veterinary Technologists II,Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 2035RW - Pathology for Veterinary Technologists IIRoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110312/1/sem-1/,Completion of Level I of Bachelor of Veterinary Technology program,null,"This course has two broad objectives. First, a study of veterinary pathology provides the underpinning knowledge for an understanding of diseases processes and the animal body's response to disease. A study of pathology provides the necessary insights for the work of veterinary technologists in assisting diagnostic procedures and supporting veterinary treatment. 



Second, veterinary technologists who work in the fields of veterinary diagnostics in veterinary practices, and in government of private laboratories require both knowledge and practical skills in the procedures used by anatomic and clinical pathologists to detect the presence of disease and to describe the development of disease processes. This course will introduce those skills across a broad range of veterinary diagnostic procedures.",VET TECH 2035RW,Undergraduate,null,3,Pathology for Veterinary Technologists II,Semester 1,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 2030RW - Introduction to Workplace Skills IIRoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110326/1/sem-1/,"Completion of Level I of Bachelor of Veterinary Technology program, successful completion of EMS block 1 (level 1)",null,"Introduction to Workplace Skills II will provide Veterinary Technology students learning experiences in the fields of Surgical Nursing, Preventative Dental Health Procedures and Diagnostic Imaging combined with Professional Communication Skills.  Students will receive knowledge, skills and on the simulated workplace training as Veterinary Technologists in a veterinary clinical setting and within a veterinary teaching institution.",VET TECH 2030RW,Undergraduate,null,3,Introduction to Workplace Skills II,Semester 1,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,"VET TECH 2025RW - Pharmacology, Pharmacy and Therapeutics IIRoseworthy Campus | Semester 2 | 2023",https://www.adelaide.edu.au/course-outlines/110324/1/sem-2/,"VET TECH 1020RW, VET TECH 1025RW, VET TECH 2035RW, VET TECH 2015RW and ANIML SC 2540RW",null,"Pharmacology, Pharmacy and Therapeutics II will provide Veterinary Technology students with knowledge of why pharmacology and pharmacy management are important in animal industry. The course will cover general pharmacology, routes and techniques of drug administration and dose rate calculation, major drug classes commonly used in animals, their action and how they are used to promote animal health, well-being and productivity. Pharmacy management and inventory control, regulations and scheduling of medicines pertaining to the use of veterinary and human drugs in Australia, issues of correct use of medicines, drug resistance, drug withholding periods and export slaughter intervals will also be discussed.",VET TECH 2025RW,Undergraduate,VET SC 7006RW,3,"Pharmacology, Pharmacy and Therapeutics II",Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 2020RW - Clinical Studies BRoseworthy Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110327/1/sem-2/,Completion of Level I of Bachelor of Veterinary Technology program,null,"This course will develop student's knowledge, skills and expertise essential for successful performance of veterinary technologists in the fields of veterinary anaesthesia and analgesia; and emergency and critical care with focus on small animals. The aim of Clinical Studies B is to provide information and experiences that will prepare students for clinical practice and safely execute the role of anaesthesia and critical care technologists. Theory and practical skills will cover anaesthesia and emergency and critical care with focus on companion animals. It is expected that students will develop appropriate competency in professional communication, interpersonal and attitudinal attributes while developing their technical skills.",VET TECH 2020RW,Undergraduate,null,3,Clinical Studies B,Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 2015RW - Clinical Studies ARoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110323/1/sem-1/,Completion of Level I of Bachelor of Veterinary Technology program,null,"This course is a study of the most important diseases affecting domestic and captive animals, wildlife, fish and crustaceans in aquaculture facilities. Emphasis is given to the recognition, clinical signs, treatment, supportive care and prevention of these conditions. Veterinary technologists work with a range of animals including household pets, horses and other companion animals, farm animals, and wildlife at large or in zoological collections; there are many commonalities between species in the way disease agents and environmental conditions affect tissues and organ systems. By studying animal health the important commonalities and differences can be highlighted and explored to provide further insights into disease and ill health processes in different animal species.",VET TECH 2015RW,Undergraduate,null,3,Clinical Studies A,Semester 1,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 1035RW - Principles of Veterinary NursingRoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110163/1/sem-1/,null,null,"Skills and knowledge in veterinary nursing form important components of the work of Veterinary Technologists. This course provides an introduction to the work of nurses and technologists in veterinary practice, in preparation for workplace learning in an external veterinary practice at the end of the year and as a foundation for the broader curriculum and more focussed studies in higher levels of the program. In this course, students will learn about the profession of Veterinary Technology and how it contributes to the work done in veterinary practices. The course examines the role, business and staff structures of veterinary practices and introduces the work of veterinary nurses and technologists in patient and client care, diagnostic processes, handling of medicines, veterinary treatment, patient and client record systems and dealing with the death of patients.",VET TECH 1035RW,Undergraduate,null,3,Principles of Veterinary Nursing,Semester 1,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 1030RW - Evidence-based Veterinary Technology IRoseworthy Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110166/1/sem-2/,null,null,"The career of Veterinary Technologists involves life-long learning and requires the ability to gather, evaluate and synthesise new information based on scientific research and endeavour. Not all sources of information are reliable and this course provides the tools to critically examine evidence, understand statistical comparisons and adopt a sceptical approach to unsubstantiated opinion and baseless claims.



In the world of animal health and welfare there are many claims for remedies and treatments, some of which are based on good science and some of which are not. A Veterinary Technologist knows how to identify the trustworthy and the reliable, and how to expose the myth and the fabrication. This course will provide the budding Vet Tech with the skills to investigate and review scientific publications and apply scientific method in his or her approach to career and life.",VET TECH 1030RW,Undergraduate,null,3,Evidence-based Veterinary Technology I,Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 1025RW - Physiology for Veterinary Technologists IRoseworthy Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110165/1/sem-2/,null,VET TECH 1020RW,"The course will introduce physiological terminology and principles using a body systems approach in a comparative context, with an emphasis on domestic species. In practical classes students will study physiological mechanisms and principles using a blending of live animal, isolated animal tissue, human measurements and computer simulations.",VET TECH 1025RW,Undergraduate,null,3,Physiology for Veterinary Technologists I,Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 1020RW - Anatomy for Veterinary Technologists IRoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110164/1/sem-1/,null,null,"This course will introduce the anatomy of domestic animal species with a body systems approach. The body systems covered will include basic tissues and skin, musculoskeletal, cardiorespiratory, gastrointestinal, reproductive, urinary and nervous. The anatomy of organs in these systems will be described at the macroscopic and microscopic level, and practicals will include dissection and histology. Tutorials will be used to reinforce student learning and critical skills.",VET TECH 1020RW,Undergraduate,null,3,Anatomy for Veterinary Technologists I,Semester 1,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 1015RW - Introduction to Mechanisms of Health IRoseworthy Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/110162/1/sem-2/,null,null,"The work of Veterinary Technologists includes ensuring animals are well cared for and as well protected as possible from adverse environmental and health conditions. This course will provide the student veterinary technologist with some of the basic knowledge and tools to keep healthy animals in good health, and to monitor their health. The delivery of the course includes a series of lectures and practical classes where students will work collectively, independently or in small groups to experience the excitement of learning by experience. This approach to learning will help provide the student with skills to be effective life-long learners. This course will deliver learning experiences in the fields of Parasitology, Nutrition and Immunology. All topics central to ensuring and maintaining good health in animal species.",VET TECH 1015RW,Undergraduate,null,3,Introduction to Mechanisms of Health I,Semester 2,Roseworthy Campus
"Veterinary Technology
VET TECH",https://www.adelaide.edu.au/course-outlines/ug/vet-tech/,VET TECH 1010RW - Foundations of Science for Veterinary Technologists IRoseworthy Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110161/1/sem-1/,null,Prior study of chemistry is recommended (Year 11 - SACE Stage 1),The aims of this course are to provide students with an overall understanding of the principles and concepts involved in complex biological systems and to develop the core knowledge essential for undertaking advanced studies in Veterinary Technology.,VET TECH 1010RW,Undergraduate,null,3,Foundations of Science for Veterinary Technologists I,Semester 1,Roseworthy Campus
