computer science,computer science-href,cs courses,cs courses-href,pre_req,Assumed Knowledge,course description,course id,location_time,level,Incompatible,Units
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4407 - Advanced Algorithms,https://www.adelaide.edu.au/course-outlines/108958/1/sem-1/,COMP SCI 2201,,"The development of a sound theoretical understanding of advanced algorithms and practical problem solving skills using them.  Advanced algorithm topics chosen from: Dynamic Programming, Linear Programming, Matching, Max Flow / Min Cut, P and NP, Approximation Algorithms, Randomized Algorithms, Computational Geometry.",COMP SCI 4407 - Advanced Algorithms,North Terrace Campus - Semester 1 - 2023,Undergraduate,"COMP SCI 3301, COMP SCI 4807",3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4405 - Research Methods  in Software Engineering and Computer Science,https://www.adelaide.edu.au/course-outlines/108289/1/sem-1/,,,"This course will prepare students for advanced research by examining how to plan, conduct and report on empirical investigations. The course will cover techniques applicable to each of the steps of a research project, including formulating research questions, theory building, data analysis (using both qualitative and quantitative methods), building evidence, assessing validity, and publishing. It will particularly focus on research involving software, developing statistical tools to measure software performance and the ways in which people interact with software tools.",COMP SCI 4405 - Research Methods  in Software Engineering and Computer Science,North Terrace Campus - Semester 1 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4192 - Mobile and Wireless Systems Hons,https://www.adelaide.edu.au/course-outlines/108687/1/sem-2/,COMP SCI 2201,COMP SCI 3001,"This course examines the characteristics of mobile and wireless networks and the impact of these characteristics on the development of software and supporting protocols.  Topics covered include: mobile and wireless application design and development environments, middleware support, protocol requirements for ad-hoc and sensor networks, wireless & mobile security vulnerabilities and standards, supporting reliable communication in lossy and intermittently connected networks; challenges and architectures for wireless mobility - 4G networks, Wi-Fi, Wi-Max, Bluetooth, Mobile IP, convergence of voice and data networks.",COMP SCI 4192 - Mobile and Wireless Systems Hons,North Terrace Campus - Semester 2 - 2023,Undergraduate,COMP SCI 4092,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4123 - Software Process Improvement,https://www.adelaide.edu.au/course-outlines/108692/1/sem-1/,COMP SCI 2201,,"This course is a guided study of software process grounded by practical personal experience. All software engineering is based on one or more processes that guide how software is developed with particular time, cost or quality goals. Process improvement aims to learn from current practice and objectively assess potential improvements. This will be explored by practicing a simplified form of the Personal Software Process and studying a number of process related topics drawn from: the goal question metric paradigm; appropriate automation; configuration management; project tracking and control; quality assurance; cost of quality; continuous integration; DevOps; software distribution; Infrastructure, Platform and Software as a Service; leveraging social media and the internet.",COMP SCI 4123 - Software Process Improvement,North Terrace Campus - Semester 1 - 2023,Undergraduate,COMP SCI 4023,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4106 - Hot Topics in IoT SecurityNorth Terrace Campus | Trimester 3 | 2023,https://www.adelaide.edu.au/course-outlines/111029/1/tri-3/,,"COMP SCI 3307, COMP SCI 3308, COMP SCI 3001","With the growth of the Internet of Things (IoT) and its impact on every aspect of modern life, security is increasingly more important. Security in IoT is the act of securing Internet of Things devices and the networks they're connected to. IoT devices include industrial machines, smart energy grids, building automation, as well as personal IoT devices. In this course you will study aspects of computer security and privacy as they affect IoT devices and networks. We will cover a selection of topics including cloud encryption, mass surveillance, software and hardware attacks, update management, and many more.",COMP SCI 4106 - Hot Topics in IoT Security,North Terrace Campus - Trimester 3 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4092 - Mobile and Wireless Systems,https://www.adelaide.edu.au/course-outlines/105879/1/sem-2/,COMP SCI 2201,COMP SCI 3001,"This course examines the characteristics of mobile and wireless networks and the impact of these characteristics on the development of software and supporting protocols.  Topics covered include: mobile and wireless application design and development environments, middleware support, protocol requirements for ad-hoc and sensor networks, wireless & mobile security vulnerabilities and standards, supporting reliable communication in lossy and intermittently connected networks; challenges and architectures for wireless mobility - 4G networks, Wi-Fi, Wi-Max, Bluetooth, Mobile IP, convergence of voice and data networks.",COMP SCI 4092 - Mobile and Wireless Systems,North Terrace Campus - Semester 2 - 2023,Undergraduate,COMP SCI 4192,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4023 - Software Process Improvement,https://www.adelaide.edu.au/course-outlines/103641/1/sem-1/,COMP SCI 2201,,"This course is a guided study of software process grounded by practical personal experience. All software engineering is based on one or more processes that guide how software is developed with particular time, cost or quality goals. Process improvement aims to learn from current practice and objectively assess potential improvements. This will be explored by practicing a simplified form of the Personal Software Process and studying a number of process related topics drawn from: the goal question metric paradigm; appropriate automation; configuration management; project tracking and control; quality assurance; cost of quality; continuous integration; DevOps; software distribution; Infrastructure, Platform and Software as a Service; leveraging social media and the internet.",COMP SCI 4023 - Software Process Improvement,North Terrace Campus - Semester 1 - 2023,Undergraduate,COMP SCI 4123,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4015B - Computer Science Honours Research Project Part B,https://www.adelaide.edu.au/course-outlines/107810/1/sem-1/,COMP SCI 4015A in previous Semester,,This is an advanced research project conducted individually under the guidance of an academic supervisor. It continues over two semesters and gives students the chance to investigate and contribute to an area at the cutting edge of computer science. Project topics vary from year to year depending on staff availability and research focus.,COMP SCI 4015B - Computer Science Honours Research Project Part B,North Terrace Campus - Semester 1 - 2023,Undergraduate,,12
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4015B - Computer Science Honours Research Project Part B,https://www.adelaide.edu.au/course-outlines/107810/1/sem-2/,COMP SCI 4015A in previous Semester,,This is an advanced research project conducted individually under the guidance of an academic supervisor. It continues over two semesters and gives students the chance to investigate and contribute to an area at the cutting edge of computer science. Project topics vary from year to year depending on staff availability and research focus.,COMP SCI 4015B - Computer Science Honours Research Project Part B,North Terrace Campus - Semester 2 - 2023,Undergraduate,,12
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4015A - Computer Science Honours Research Project Part A,https://www.adelaide.edu.au/course-outlines/107809/1/sem-1/,,,This is an advanced research project conducted individually under the guidance of an academic supervisor. It continues over two semesters and gives students the chance to investigate and contribute to an area at the cutting edge of computer science. Project topics vary from year to year depending on staff availability and research focus.,COMP SCI 4015A - Computer Science Honours Research Project Part A,North Terrace Campus - Semester 1 - 2023,Undergraduate,,
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 4015A - Computer Science Honours Research Project Part A,https://www.adelaide.edu.au/course-outlines/107809/1/sem-2/,,,This is an advanced research project conducted individually under the guidance of an academic supervisor. It continues over two semesters and gives students the chance to investigate and contribute to an area at the cutting edge of computer science. Project topics vary from year to year depending on staff availability and research focus.,COMP SCI 4015A - Computer Science Honours Research Project Part A,North Terrace Campus - Semester 2 - 2023,Undergraduate,,
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3710 - InternshipNorth Terrace Campus | Quadmester 4 | 2023,https://www.adelaide.edu.au/course-outlines/111069/1/quad-4/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3710 - Internship,North Terrace Campus - Quadmester 4 - 2023,Undergraduate,,6
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3710 - Internship,https://www.adelaide.edu.au/course-outlines/111069/1/sem-1/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3710 - Internship,North Terrace Campus - Semester 1 - 2023,Undergraduate,,6
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3710 - Internship,https://www.adelaide.edu.au/course-outlines/111069/1/summer/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3710 - Internship,North Terrace Campus - Summer - 2023,Undergraduate,,6
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3710 - Internship,https://www.adelaide.edu.au/course-outlines/111069/1/sem-2/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3710 - Internship,North Terrace Campus - Semester 2 - 2023,Undergraduate,,6
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3700 - Internship,https://www.adelaide.edu.au/course-outlines/111068/1/sem-1/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3700 - Internship,North Terrace Campus - Semester 1 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3700 - Internship,https://www.adelaide.edu.au/course-outlines/111068/1/summer/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3700 - Internship,North Terrace Campus - Summer - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3700 - Internship,https://www.adelaide.edu.au/course-outlines/111068/1/sem-2/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3700 - Internship,North Terrace Campus - Semester 2 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3700 - InternshipNorth Terrace Campus | Quadmester 4 | 2023,https://www.adelaide.edu.au/course-outlines/111068/1/quad-4/,Need to have completed 36 units while enrolled in an ECMS program,,"This internship course will allow you to build and apply your skills to relevant workplace settings. There will be training provided in career development skills and employability. Included within the course are opportunities for you to produce original work which builds and demonstrates your analytical, research and problem-solving skills; graduate-ready qualities that are essential for future employment. You will develop an understanding of the value of industry and professional networks and their importance to lifelong learning and career progression.  The internship component will directly add to your experiences and resume while providing an environment to consolidate your confidence and the ability to contribute to a workplace. You will gain an awareness of the strengths you offer to a future employer. The internship will focus on building your employability in the area of Engineering, Mathematics or Computer Sciences or related industries and business.",COMP SCI 3700 - Internship,North Terrace Campus - Quadmester 4 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3318 - Software Engineering in Industry,https://www.adelaide.edu.au/course-outlines/111360/1/sem-2/,COMP SCI 2206,,"Have you ever wondered how all these software engineering concepts will ever be put into practice? Who actually uses scrum or (gasp!) waterfall and how? This course will involve lectures and research into topics concerning current software engineering methodologies and techniques. The course will include significant industry engagement through module lectures and industry case studies from local industry, focusing on how software engineering methodologies are implemented. Lectures will be accompanied by opportunities to engage with real development teams through which students will gain a better understanding of the software engineering products produced and the challenges involved in producing these products.  Students will be guided to conduct preliminary research on selected topics relevant to software engineering industry practice. Students will be asked to produce two research reports which present their understanding, findings, and critical assessment of software engineering practices in industry.",COMP SCI 3318 - Software Engineering in Industry,North Terrace Campus - Semester 2 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3317MELB - Using Machine Learning ToolsMelbourne Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/110303/3/sem-1/,,,"An introduction to the use and application of key machine learning tools. Students will learn to build software that uses pre-existing toolkits as appropriate to solve a variety of machine learning problems. The course will have a practical focus using case studies and worked examples, with an emphasis on ensuring that solutions are valid and verifiable.",COMP SCI 3317MELB - Using Machine Learning Tools,Melbourne Campus - Semester 1 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3317 - Using Machine Learning Tools,https://www.adelaide.edu.au/course-outlines/110303/1/sem-1/,,,"An introduction to the use and application of key machine learning tools. Students will learn to build software that uses pre-existing toolkits as appropriate to solve a variety of machine learning problems. The course will have a practical focus using case studies and worked examples, with an emphasis on ensuring that solutions are valid and verifiable.",COMP SCI 3317 - Using Machine Learning Tools,North Terrace Campus - Semester 1 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3316 - Evolutionary Computation,https://www.adelaide.edu.au/course-outlines/109415/1/sem-2/,"One of COMP SCI 1103, COMP SCI 1203, COMP SCI 2009, COMP SCI 2103, COMP SCI 2202 or COMP SCI 2202B","Mathematics background in probability and statistics as covered in STATS 1000, MATHS 1004, SACE Stage 2 Mathematical Methods, or the online courses (MathTrackX: Probability and MathTrackX: Statistics)","History of evolutionary computation; major areas: genetic algorithms, evolution strategies, evolution programming, genetic programming, classifier systems; constraint handling; multi-objective cases; dynamic environments; parallel implementations; coevolutionary systems; parameter control; hybrid approaches; commercial applications.",COMP SCI 3316 - Evolutionary Computation,North Terrace Campus - Semester 2 - 2023,Undergraduate,"COMP SCI 4095, COMP SCI 4195",3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3315MELB - Computer VisionMelbourne Campus | Semester 1 | 2023,https://www.adelaide.edu.au/course-outlines/109414/3/sem-1/,,,"Over the last 40 years, researchers in artificial intelligence have endeavoured to develop computers with the capacity to ""see"" the world around them. This course aims to convey the nature of some of the fundamental problems in vision, and to explain a variety of techniques used to overcome them. Vision is a rapidly evolving area of computer science, and new and emerging approaches to these problems are discussed along with more ""classical"" techniques. Various vision problems are considered, including: feature detection in images, e.g. edge detection, and the accumulation of edge data to form lines; recovery of 3D shape from images, e.g. the use of a stereo image pair to derive 3D surface information; forming image mosaics; video surveillance techniques, e.g. tracking objects in video; motion detection in video images, e.g. counting number of moving objects in a video; recognising and classifying objects in images, e.g. searching a video for a particular object. Several assignments will be given to enable the student to gain practical experience in tackling some of these problems.",COMP SCI 3315MELB - Computer Vision,Melbourne Campus - Semester 1 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3315 - Computer Vision,https://www.adelaide.edu.au/course-outlines/109414/1/sem-1/,COMP SCI 2009 or COMP SCI 2103,"Mathematics background in linear algebra and probability as covered in MATHS 1004, SACE Stage 2 Mathematical Methods, or the online courses (MathTrackX: Probability and MathTrackX: Polynomials, Functions & Graphs)","Over the last 40 years, researchers in artificial intelligence have endeavoured to develop computers with the capacity to ""see"" the world around them. This course aims to convey the nature of some of the fundamental problems in vision, and to explain a variety of techniques used to overcome them. Vision is a rapidly evolving area of computer science, and new and emerging approaches to these problems are discussed along with more ""classical"" techniques. Various vision problems are considered, including: feature detection in images, e.g. edge detection, and the accumulation of edge data to form lines; recovery of 3D shape from images, e.g. the use of a stereo image pair to derive 3D surface information; forming image mosaics; video surveillance techniques, e.g. tracking objects in video; motion detection in video images, e.g. counting number of moving objects in a video; recognising and classifying objects in images, e.g. searching a video for a particular object. Several assignments will be given to enable the student to gain practical experience in tackling some of these problems.",COMP SCI 3315 - Computer Vision,North Terrace Campus - Semester 1 - 2023,Undergraduate,"COMP SCI 4022, COMP SCI 4122",3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3314MELB - Introduction to Statistical Machine LearningMelbourne Campus | Semester 2 | 2023,https://www.adelaide.edu.au/course-outlines/109413/3/sem-2/,,,"Statistical Machine Learning is concerned with algorithms that automatically improve their performance through 'learning'. For example, computer programs that learn to detect humans in images/video; predict stock markets, and rank web pages. Statistical machine learning has emerged mainly from computer science and artificial intelligence, and has connections to a variety of related subjects including statistics, applied mathematics and pattern analysis. Applications include image and audio signal analysis, data mining, bioinformatics and exploratory data analysis in natural science and engineering. This is an introductory course on statistical machine learning which presents an overview of many fundamental concepts, popular techniques, and algorithms in statistical machine learning. It covers basic topics such as dimensionality reduction, linear classification and regression as well as more recent topics such as ensemble learning/boosting, support vector machines, kernel methods and manifold learning. This course will provide the students the basic ideas and intuition behind modern statistical machine learning methods. After studying this course, students will understand how, why, and when machine learning works on practical problems.",COMP SCI 3314MELB - Introduction to Statistical Machine Learning,Melbourne Campus - Semester 2 - 2023,Undergraduate,,3
"Computer Science
COMP SCI",https://www.adelaide.edu.au/course-outlines/ug/comp-sci/,COMP SCI 3314 - Introduction to Statistical Machine Learning,https://www.adelaide.edu.au/course-outlines/109413/1/sem-2/,COMP SCI 2201 or COMP SCI 2009,Basic probability theory and linear algebra as taught in MATHS 1004 or MATHS 1012,"Statistical Machine Learning is concerned with algorithms that automatically improve their performance through 'learning'. For example, computer programs that learn to detect humans in images/video; predict stock markets, and rank web pages. Statistical machine learning has emerged mainly from computer science and artificial intelligence, and has connections to a variety of related subjects including statistics, applied mathematics and pattern analysis. Applications include image and audio signal analysis, data mining, bioinformatics and exploratory data analysis in natural science and engineering. This is an introductory course on statistical machine learning which presents an overview of many fundamental concepts, popular techniques, and algorithms in statistical machine learning. It covers basic topics such as dimensionality reduction, linear classification and regression as well as more recent topics such as ensemble learning/boosting, support vector machines, kernel methods and manifold learning. This course will provide the students the basic ideas and intuition behind modern statistical machine learning methods. After studying this course, students will understand how, why, and when machine learning works on practical problems.",COMP SCI 3314 - Introduction to Statistical Machine Learning,North Terrace Campus - Semester 2 - 2023,Undergraduate,"COMP SCI 4401, COMP SCI 4801",3
